time,debit
00:00:00,0
00:00:01,6
00:00:02,13.5
00:00:03,20
00:00:04,18
00:00:05,18
00:00:06,13.5
00:00:07,9.5
00:00:08,15.5
00:00:09,19.5
00:00:10,18
00:00:11,15.5
00:00:12,16
00:00:13,14.5
00:00:14,14
00:00:15,12
00:00:16,11
00:00:17,12
00:00:18,12.5
00:00:19,11.5
00:00:20,12
00:00:21,10
00:00:22,10
00:00:23,10
00:00:24,15.5
00:00:25,10.5
00:00:26,10
00:00:27,9.5
00:00:28,8.5
00:00:29,10.5
00:00:30,9.5
00:00:31,9.5
00:00:32,9.5
00:00:33,10
00:00:34,10
00:00:35,10
00:00:36,10
00:00:37,10
00:00:38,7.5
00:00:39,8.5
00:00:40,8.5
00:00:41,8
00:00:42,8
00:00:43,7.5
00:00:44,8.5
00:00:45,8
00:00:46,8.5
00:00:47,6
00:00:48,6
00:00:49,11.5
00:00:50,8.5
00:00:51,7.5
00:00:52,7.5
00:00:53,7.5
00:00:54,8
00:00:55,8
00:00:56,6.5
00:00:57,6
00:00:58,8
00:00:59,8
00:01:00,8
00:01:01,8
00:01:02,8
00:01:03,8
00:01:04,8
00:01:05,8
00:01:06,8
00:01:07,8
00:01:08,8
00:01:09,8
00:01:10,8
00:01:11,8
00:01:12,8
00:01:13,8
00:01:14,8
00:01:15,8
00:01:16,8
00:01:17,8
00:01:18,8
00:01:19,6.5
00:01:20,7
00:01:21,11
00:01:22,7.5
00:01:23,8.5
00:01:24,6.5
00:01:25,6
00:01:26,6
00:01:27,13
00:01:28,8
00:01:29,9
00:01:30,10
00:01:31,17
00:01:32,10.5
00:01:33,9.5
00:01:34,16.5
00:01:35,12.5
00:01:36,12
00:01:37,12
00:01:38,11.5
00:01:39,14
