time,debit
00:00:00,0
00:00:01,4.5
00:00:02,9.5
00:00:03,8.5
00:00:04,25
00:00:05,15.5
00:00:06,17.5
00:00:07,16.5
00:00:08,16
00:00:09,15.5
00:00:10,17
00:00:11,16
00:00:12,22
00:00:13,18
00:00:14,18
00:00:15,12.5
00:00:16,12
00:00:17,18
00:00:18,20.5
00:00:19,16
00:00:20,17.5
00:00:21,18
00:00:22,18
00:00:23,17
00:00:24,15
00:00:25,14
00:00:26,14.5
00:00:27,14.5
00:00:28,11
00:00:29,10.5
00:00:30,15.5
00:00:31,12.5
00:00:32,15.5
00:00:33,13.5
00:00:34,14.5
00:00:35,14
00:00:36,13
00:00:37,10
00:00:38,12
00:00:39,11.5
00:00:40,14
00:00:41,12
00:00:42,12
00:00:43,12
00:00:44,9.5
00:00:45,10.5
00:00:46,15.5
00:00:47,12
00:00:48,10.5
00:00:49,10
00:00:50,10
00:00:51,14.5
00:00:52,13
00:00:53,12
00:00:54,10.5
00:00:55,11
00:00:56,11
00:00:57,10.5
00:00:58,10
00:00:59,8.5
00:01:00,11.5
00:01:01,14
00:01:02,10
00:01:03,10
00:01:04,10
00:01:05,10
00:01:06,10
00:01:07,10
00:01:08,10.5
00:01:09,12.5
00:01:10,11
00:01:11,11
00:01:12,12
00:01:13,12
00:01:14,12
00:01:15,12
00:01:16,12
00:01:17,10
00:01:18,11.5
00:01:19,14.5
00:01:20,12
00:01:21,13.5
00:01:22,13
00:01:23,11
00:01:24,11.5
00:01:25,11.5
00:01:26,11.5
00:01:27,12
00:01:28,19
00:01:29,14
00:01:30,14
00:01:31,15.5
00:01:32,13.5
00:01:33,14
00:01:34,13.5
00:01:35,13.5
00:01:36,13
00:01:37,21
00:01:38,15
00:01:39,15
