times,pdr
00:00:00,0
00:00:01,37.5
00:00:02,35
00:00:03,117.5
00:00:04,70
00:00:05,67.5
00:00:06,62.5
00:00:07,62.5
00:00:08,55
00:00:09,57.5
00:00:10,47.5
00:00:11,42.5
00:00:12,57.5
00:00:13,70
00:00:14,57.5
00:00:15,47.5
00:00:16,60
00:00:17,60
00:00:18,52.5
00:00:19,37.5
00:00:20,40
00:00:21,70
00:00:22,70
00:00:23,85
00:00:24,72.5
00:00:25,100
00:00:26,42.5
00:00:27,37.5
00:00:28,40
00:00:29,65
00:00:30,40
00:00:31,37.5
00:00:32,35
00:00:33,55
00:00:34,80
00:00:35,55
00:00:36,50
00:00:37,45
00:00:38,52.5
00:00:39,37.5
00:00:40,67.5
00:00:41,42.5
00:00:42,42.5
00:00:43,37.5
00:00:44,42.5
00:00:45,72.5
00:00:46,67.5
00:00:47,67.5
00:00:48,60
00:00:49,50
00:00:50,50
00:00:51,60
00:00:52,55
00:00:53,87.5
00:00:54,50
00:00:55,45
00:00:56,35
00:00:57,65
00:00:58,92.5
00:00:59,45
00:01:00,52.5
00:01:01,40
00:01:02,62.5
00:01:03,60
00:01:04,37.5
00:01:05,40
00:01:06,37.5
00:01:07,65
00:01:08,50
00:01:09,62.5
00:01:10,55
00:01:11,60
00:01:12,55
00:01:13,42.5
00:01:14,47.5
00:01:15,92.5
00:01:16,72.5
00:01:17,57.5
00:01:18,42.5
00:01:19,55
00:01:20,50
00:01:21,82.5
00:01:22,50
00:01:23,47.5
00:01:24,47.5
00:01:25,47.5
00:01:26,47.5
00:01:27,47.5
00:01:28,32.5
00:01:29,27.5
00:01:30,10
00:01:31,17.5
00:01:32,10
00:01:33,17.5
00:01:34,27.5
00:01:35,52.5
00:01:36,60
00:01:37,45
00:01:38,45
00:01:39,57.5
00:01:40,57.5
00:01:41,65
00:01:42,52.5
00:01:43,45
00:01:44,50
00:01:45,50
00:01:46,47.5
00:01:47,55
00:01:48,62.5
00:01:49,57.5
00:01:50,50
00:01:51,67.5
00:01:52,52.5
00:01:53,45
00:01:54,57.5
00:01:55,62.5
00:01:56,45
00:01:57,47.5
00:01:58,60
00:01:59,52.5
00:02:00,52.5
00:02:01,52.5
00:02:02,62.5
00:02:03,40
00:02:04,55
00:02:05,75
00:02:06,55
00:02:07,50
00:02:08,32.5
00:02:09,35
00:02:10,35
00:02:11,50
00:02:12,60
00:02:13,55
00:02:14,60
00:02:15,90
00:02:16,42.5
00:02:17,27.5
00:02:18,30
00:02:19,37.5
00:02:20,35
00:02:21,52.5
00:02:22,47.5
00:02:23,80
00:02:24,45
00:02:25,52.5
00:02:26,35
00:02:27,35
00:02:28,40
00:02:29,35
00:02:30,45
00:02:31,42.5
00:02:32,52.5
00:02:33,50
00:02:34,50
00:02:35,45
00:02:36,50
00:02:37,37.5
00:02:38,40
00:02:39,37.5
00:02:40,37.5
00:02:41,32.5
00:02:42,30
00:02:43,32.5
00:02:44,40
00:02:45,40
00:02:46,30
00:02:47,22.5
00:02:48,22.5
00:02:49,40
00:02:50,25
00:02:51,27.5
00:02:52,30
00:02:53,27.5
00:02:54,17.5
00:02:55,22.5
00:02:56,27.5
00:02:57,37.5
00:02:58,32.5
00:02:59,45
00:03:00,45
00:03:01,40
00:03:02,30
00:03:03,12.5
00:03:04,30
00:03:05,35
00:03:06,45
00:03:07,45
00:03:08,57.5
00:03:09,32.5
00:03:10,37.5
00:03:11,55
00:03:12,30
00:03:13,42.5
00:03:14,80
00:03:15,42.5
00:03:16,30
00:03:17,25
00:03:18,42.5
00:03:19,0
